Country Name,Country Code,Indicator Name,Indicator Code,2019,AirTransport
Aruba,ABW,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Africa Eastern and Southern,AFE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,717795.3,298383.6809
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,7334,4635.714
Africa Western and Central,AFW,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,158874.79,89903.595
Angola,AGO,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,13647,3792
Albania,ALB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2558,1274
Andorra,AND,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Arab World,ARB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1599362.272,640887.147
United Arab Emirates,ARE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,426157.272,185260
Argentina,ARG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,163106,27447
Armenia,ARM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2133,705
American Samoa,ASM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Antigua and Barbuda,ATG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,21930.58313,11206.527
Australia,AUS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,684170,273358.384
Austria,AUT,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,330226,121668
Azerbaijan,AZE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,28974,11648
Burundi,BDI,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Belgium,BEL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,137206.817,57072.125
Benin,BEN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Burkina Faso,BFA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,4105,1790
Bangladesh,BGD,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,68351,42827.89
Bulgaria,BGR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,10111,6295
Bahrain,BHR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,57321,17591
"Bahamas, The",BHS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,47733,31284.792
Bosnia and Herzegovina,BIH,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,108,44
Belarus,BLR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,35741,16611
Belize,BLZ,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,141329,130792.986
Bermuda,BMU,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Bolivia,BOL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,49931,31354
Brazil,BRA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,814301,393769
Barbados,BRB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Brunei Darussalam,BRN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,14091,4233
Bhutan,BTN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,5067,1311
Botswana,BWA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,6533,0
Central African Republic,CAF,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Canada,CAN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,1215983,511637
Central Europe and the Baltics,CEB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,566402,238601.363
Switzerland,CHE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,225755,81283.2
Channel Islands,CHI,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Chile,CHL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,143964,72839
China,CHN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,4963752,3667920
Cote d'Ivoire,CIV,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,16616,8030
Cameroon,CMR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2336,1169
"Congo, Dem. Rep.",COD,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,7532,3787.864
"Congo, Rep.",COG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,4990.79,2047.429
Colombia,COL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,371985,139029.18
Comoros,COM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Cabo Verde,CPV,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,10205,5067.487
Costa Rica,CRI,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,44878,11696.8
Caribbean small states,CSS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Cuba,CUB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,7146,2123
Curacao,CUW,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Cayman Islands,CYM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Cyprus,CYP,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,3326,1118
Czech Republic,CZE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,44051,12986.363
Germany,DEU,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,896647.181,303966
Djibouti,DJI,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Dominica,DMA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,
Denmark,DNK,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,560420.19,168010.186
Dominican Republic,DOM,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,7062,2497.4
Algeria,DZA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,76049,18719
East Asia & Pacific (excluding high income),EAP,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,7629160,4921887.492
