Country Name,Country Code,Indicator Name,MilitaryEx
Aruba,ABW,Military expenditure (% of GDP),
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),1.151456843
Afghanistan,AFG,Military expenditure (% of GDP),1.369684411
Africa Western and Central,AFW,Military expenditure (% of GDP),1.008385802
Angola,AGO,Military expenditure (% of GDP),1.615852036
Albania,ALB,Military expenditure (% of GDP),1.535464713
Andorra,AND,Military expenditure (% of GDP),
Arab World,ARB,Military expenditure (% of GDP),5.724403953
United Arab Emirates,ARE,Military expenditure (% of GDP),
Argentina,ARG,Military expenditure (% of GDP),0.761486737
Armenia,ARM,Military expenditure (% of GDP),4.858048412
American Samoa,ASM,Military expenditure (% of GDP),
Antigua and Barbuda,ATG,Military expenditure (% of GDP),
Australia,AUS,Military expenditure (% of GDP),2.063042777
Austria,AUT,Military expenditure (% of GDP),0.836613874
Azerbaijan,AZE,Military expenditure (% of GDP),5.390494994
Burundi,BDI,Military expenditure (% of GDP),1.97921599
Belgium,BEL,Military expenditure (% of GDP),1.080842257
Benin,BEN,Military expenditure (% of GDP),0.470634917
Burkina Faso,BFA,Military expenditure (% of GDP),2.733953813
Bangladesh,BGD,Military expenditure (% of GDP),1.301862862
Bulgaria,BGR,Military expenditure (% of GDP),1.82470414
Bahrain,BHR,Military expenditure (% of GDP),4.074397375
"Bahamas, The",BHS,Military expenditure (% of GDP),
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),0.875244991
Belarus,BLR,Military expenditure (% of GDP),1.25428103
Belize,BLZ,Military expenditure (% of GDP),1.574830602
Bermuda,BMU,Military expenditure (% of GDP),
Bolivia,BOL,Military expenditure (% of GDP),1.57351874
Brazil,BRA,Military expenditure (% of GDP),1.439168226
Barbados,BRB,Military expenditure (% of GDP),
Brunei Darussalam,BRN,Military expenditure (% of GDP),4.080878304
Bhutan,BTN,Military expenditure (% of GDP),
Botswana,BWA,Military expenditure (% of GDP),3.502285859
Central African Republic,CAF,Military expenditure (% of GDP),1.872148627
Canada,CAN,Military expenditure (% of GDP),1.415055841
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),1.956031349
Switzerland,CHE,Military expenditure (% of GDP),0.778520639
Channel Islands,CHI,Military expenditure (% of GDP),
Chile,CHL,Military expenditure (% of GDP),1.853907407
China,CHN,Military expenditure (% of GDP),1.749795773
Cote d'Ivoire,CIV,Military expenditure (% of GDP),1.328239978
Cameroon,CMR,Military expenditure (% of GDP),1.010443012
"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),0.749453965
"Congo, Rep.",COG,Military expenditure (% of GDP),3.384330555
Colombia,COL,Military expenditure (% of GDP),3.375763519
Comoros,COM,Military expenditure (% of GDP),
Cabo Verde,CPV,Military expenditure (% of GDP),0.590190723
Costa Rica,CRI,Military expenditure (% of GDP),0
Caribbean small states,CSS,Military expenditure (% of GDP),
Cuba,CUB,Military expenditure (% of GDP),2.876
Curacao,CUW,Military expenditure (% of GDP),
Cayman Islands,CYM,Military expenditure (% of GDP),
Cyprus,CYP,Military expenditure (% of GDP),1.778940478
Czech Republic,CZE,Military expenditure (% of GDP),1.354845043
Germany,DEU,Military expenditure (% of GDP),1.399730368
Djibouti,DJI,Military expenditure (% of GDP),
Dominica,DMA,Military expenditure (% of GDP),
Denmark,DNK,Military expenditure (% of GDP),1.442268139
Dominican Republic,DOM,Military expenditure (% of GDP),0.750479965
Algeria,DZA,Military expenditure (% of GDP),6.659993727
East Asia & Pacific (excluding high income),EAP,Military expenditure (% of GDP),1.662773616
Early-demographic dividend,EAR,Military expenditure (% of GDP),2.509518533
East Asia & Pacific,EAS,Military expenditure (% of GDP),1.65518456
Europe & Central Asia (excluding high income),ECA,Military expenditure (% of GDP),3.350109146
Europe & Central Asia,ECS,Military expenditure (% of GDP),1.87306933
Ecuador,ECU,Military expenditure (% of GDP),2.410351528
"Egypt, Arab Rep.",EGY,Military expenditure (% of GDP),1.224172373
Euro area,EMU,Military expenditure (% of GDP),1.535960098
Eritrea,ERI,Military expenditure (% of GDP),
Spain,ESP,Military expenditure (% of GDP),1.402053417
Estonia,EST,Military expenditure (% of GDP),2.307487386
Ethiopia,ETH,Military expenditure (% of GDP),0.481146129
European Union,EUU,Military expenditure (% of GDP),1.562262841
Fragile and conflict affected situations,FCS,Military expenditure (% of GDP),1.751621777
Finland,FIN,Military expenditure (% of GDP),1.530450942
Fiji,FJI,Military expenditure (% of GDP),1.75011439
France,FRA,Military expenditure (% of GDP),2.073321427
Faroe Islands,FRO,Military expenditure (% of GDP),
"Micronesia, Fed. Sts.",FSM,Military expenditure (% of GDP),
Gabon,GAB,Military expenditure (% of GDP),1.762374355
United Kingdom,GBR,Military expenditure (% of GDP),2.246546679
Georgia,GEO,Military expenditure (% of GDP),1.809647735
Ghana,GHA,Military expenditure (% of GDP),0.446156223
Gibraltar,GIB,Military expenditure (% of GDP),
Guinea,GIN,Military expenditure (% of GDP),1.457511923
"Gambia, The",GMB,Military expenditure (% of GDP),0.828278886
Guinea-Bissau,GNB,Military expenditure (% of GDP),1.736152603
Equatorial Guinea,GNQ,Military expenditure (% of GDP),1.31
Greece,GRC,Military expenditure (% of GDP),2.795563146
Grenada,GRD,Military expenditure (% of GDP),
Greenland,GRL,Military expenditure (% of GDP),
Guatemala,GTM,Military expenditure (% of GDP),0.483220756
Guam,GUM,Military expenditure (% of GDP),
Guyana,GUY,Military expenditure (% of GDP),1.199003089
High income,HIC,Military expenditure (% of GDP),2.617437142
