Country Name,Country Code,Indicator Name,Indicator Code,2019, 2020_GDP_per_Capita 
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1530.059177," $1,359.62 "
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,494.1793499, $516.75 
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1777.918672," $1,710.07 "
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2809.626088," $1,776.17 "
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5395.659532," $5,246.29 "
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40897.33087,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6489.043216," $5,612.69 "
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,42701.44305," $36,284.56 "
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10056.63794," $8,579.02 "
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4604.646324," $4,266.02 "
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11715.36014," $12,844.90 "
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17376.64968," $13,992.74 "
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54875.28596," $51,692.84 "
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50114.40111," $48,586.80 "
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.753718," $4,221.41 "
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,228.2135892, $238.99 
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46591.49161," $45,159.35 "
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.515506," $1,291.04 "
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,796.1152068, $857.93 
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1855.740094," $1,961.61 "
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9879.268533," $10,079.20 "
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23551.93009," $20,409.95 "
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,33799.41769," $25,194.03 "
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6119.762345," $6,079.74 "
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.717826," $6,424.15 "
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5078.809944," $4,115.18 "
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,117098.4463," $107,079.48 "
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3552.068143," $3,133.10 "
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8897.552966," $6,796.84 "
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18148.49785," $15,373.85 "
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31085.96193," $27,442.95 "
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3322.863329," $3,000.78 "
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7203.064221," $6,404.90 "
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.9080323, $492.80 
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46338.34096," $43,294.65 "
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16346.55494," $16,168.20 "
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,85334.51946," $87,097.04 "
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14741.7144," $13,231.70 "
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.83817," $10,434.78 "
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2276.332394," $2,325.72 "
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1533.095688," $1,537.13 "
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,580.7168706, $543.95 
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2369.729494," $1,846.13 "
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6424.979492," $5,334.56 "
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1401.542312," $1,420.66 "
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3603.775241," $3,064.27 "
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12693.82796," $12,140.85 "
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10291.80732," $8,873.52 "
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9125.878679," $9,477.85 "
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19701.27038," $16,745.72 "
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,91392.64259," $85,082.53 "
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29206.07672," $27,527.85 "
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23660.14881," $22,931.27 "
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46794.89929," $46,208.43 "
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3414.916178," $3,425.48 "
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8516.280039," $7,003.86 "
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59775.7351," $61,063.32 "
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8282.117131," $7,268.20 "
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3989.668276," $3,306.86 "
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8145.345437," $8,254.67 "
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3503.439733," $3,201.65 "
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11478.03313," $11,477.79 "
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8343.550431," $7,668.52 "
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24906.43673," $23,955.31 "
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6222.524653," $5,600.39 "
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3019.092283," $3,569.21 "
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,39188.63654," $37,967.80 "
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29555.3157," $27,063.19 "
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23397.12001," $23,027.03 "
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,855.7608852, $936.34 
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,35083.80749," $34,148.92 "
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1828.649338," $1,622.22 "
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48628.64176," $48,744.99 "
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,6175.890653," $5,057.63 "
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40578.64429," $39,030.36 "
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,64225.2649,
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3585.392449," $3,565.29 "
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7766.996554," $6,881.72 "
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,43070.49836," $41,059.17 "
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4697.983652," $4,266.69 "
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2246.625578," $2,205.53 "
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,,
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1058.143368," $1,194.04 "
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,772.0459142, $773.00 
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,749.453747, $727.52 
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,8419.933336," $7,143.24 "
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19133.75776," $17,622.54 "
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,10827.43529," $9,261.55 "
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,53041.30331,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4638.634943," $4,603.34 "
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,38040.58699," $34,624.34 "
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6609.51128," $6,955.94 "
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,45462.37168," $44,003.41 "
