Rk,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
1,United States of America,Americas,79688115,24074.766,219604,66.345,40784,978545,295.631,3420,1.033,427
1,India,South-East Asia,43038016,3118.687,7091,0.514,1088,521736,37.807,249,0.018,26
1,Brazil,Americas,30161205,14189.541,148407,69.819,8803,661327,311.126,1015,0.478,69
1,France,Europe,26379012,40558.536,917280,1410.346,177974,140406,215.879,828,1.273,148
1,Germany,Europe,23017079,27675.832,953020,1145.915,176303,132378,159.172,1670,2.008,361
1,The United Kingdom,Europe,21679284,31934.836,242883,357.781,24151,170395,251.002,932,1.373,22
1,Russian Federation,Europe,18030579,12355.258,89814,61.544,11754,372512,255.26,1910,1.309,267
1,Republic of Korea,Western Pacific,15830644,30877.503,1277059,2490.89,195419,20034,39.076,2001,3.903,184
1,Italy,Europe,15404809,25829.015,438751,735.647,84056,161032,270,929,1.558,169
1,Turkey,Europe,14972502,17752.748,52911,62.736,6635,98462,116.745,228,0.27,25
1,Spain,Europe,11662214,24638.855,61125,129.139,7451,103266,218.171,325,0.687,34
1,Viet Nam,Western Pacific,10272964,10553.846,350924,360.519,22804,42858,44.03,177,0.182,28
1,Argentina,Americas,9054126,20033.125,18569,41.086,13340,128233,283.728,2,0.004,0
1,Netherlands,Europe,8001830,45967.491,66788,383.672,6291,22116,127.048,81,0.465,15
1,Iran (Islamic Republic of),Eastern Mediterranean,7197505,8569.178,21725,25.865,2737,140678,167.488,271,0.323,28
1,Japan,Western Pacific,7124030,5632.692,345795,273.407,51331,28765,22.743,378,0.299,44
1,Colombia,Americas,6088335,11965.387,2102,4.131,301,139725,274.601,55,0.108,6
1,Indonesia,South-East Asia,6036909,2207.089,10585,3.87,1551,155746,56.941,282,0.103,29
1,Poland,Europe,5981486,15758.112,7929,20.889,1266,115736,304.904,264,0.696,40
1,Mexico,Americas,5723214,4438.914,2330,1.807,0,323727,251.082,32,0.025,0
1,Ukraine,Europe,4988890,11407.412,10892,24.905,1605,108194,247.392,118,0.27,27
1,Australia,Western Pacific,4966441,19476.328,370667,1453.603,47730,6609,25.918,174,0.682,40
1,Malaysia,Western Pacific,4342559,13417.04,74073,228.861,9002,35341,109.192,181,0.559,30
1,Austria,Europe,4052975,45533.601,92972,1044.504,9377,16129,181.203,151,1.696,17
1,Israel,Europe,4014139,46376.523,44989,519.771,5403,10601,122.476,20,0.231,0
1,Thailand,South-East Asia,3948869,5657.407,167042,239.315,23015,26395,37.815,698,1,106
1,Belgium,Europe,3943831,34227.395,35397,307.201,0,31079,269.726,106,0.92,0
1,Czechia,Europe,3872522,36212.307,26813,250.731,4034,39933,373.417,118,1.103,3
1,South Africa,Africa,3733919,6295.737,8742,14.74,1291,100116,168.805,49,0.083,18
1,Portugal,Europe,3697617,35913.458,59434,577.258,11162,21964,213.327,145,1.408,23
1,Philippines,Western Pacific,3681851,3359.933,1872,1.708,205,59778,54.551,408,0.372,1
1,Canada,Americas,3579730,9484.7,63347,167.842,11393,38044,100.8,281,0.745,41
1,Peru,Americas,3551800,10772.218,3083,9.35,260,212507,644.51,153,0.464,21
1,Switzerland,Europe,3551798,41039.339,30320,350.333,8,13087,151.214,28,0.324,0
1,Chile,Americas,3515878,18392.138,23916,125.109,1587,57094,298.668,285,1.491,13
1,Greece,Europe,3195887,29816.37,81296,758.46,15331,28274,263.785,458,4.273,69
1,Denmark,Europe,3089642,53061.442,17308,297.247,2683,5932,101.876,134,2.301,11
1,Romania,Europe,2875942,14879.022,11469,59.336,2067,65249,337.573,120,0.621,39
1,Sweden,Europe,2491980,24129.349,1855,17.962,0,18506,179.19,0,0,0
1,Iraq,Eastern Mediterranean,2322303,5773.643,1497,3.722,222,25186,62.617,8,0.02,0
1,Serbia,Europe,1991620,28752.776,7886,113.849,1109,15899,229.532,57,0.823,9
1,Bangladesh,South-East Asia,1952131,1185.341,264,0.16,22,29124,17.684,1,0.001,1
1,Hungary,Europe,1876946,19212.252,13907,142.351,2740,45838,469.194,191,1.955,26
1,Slovakia,Europe,1757117,32194.172,19802,362.815,2538,19643,359.902,161,2.95,25
1,Jordan,Eastern Mediterranean,1694957,16612.121,741,7.262,0,14055,137.752,7,0.069,0
1,Georgia,Europe,1652235,41417.962,1851,46.401,266,16781,420.663,16,0.401,2
1,Pakistan,Eastern Mediterranean,1526728,691.164,953,0.431,62,30362,13.745,1,0,1
1,Ireland,Europe,1494814,30110.425,17732,357.18,1748,6903,139.049,52,1.047,19
1,Norway,Europe,1416708,26393.794,5317,99.058,373,2667,49.687,0,0,0
1,Kazakhstan,Europe,1394118,7424.72,164,0.873,25,19013,101.258,0,0,0
