Name,Country.Code,Indicator.Name.x,Indicator.Code.x,X2019.x,gdpcap,Country.Name.y,Indicator.Name.y,Indicator.Code.y,X2019.y,urbpop,Country.Name.x.x,Indicator.Name.x.x,Indicator.Code.x.x,HealthExppCap,Country.Name.y.y,Indicator.Name.y.y,Indicator.Code.y.y,X2019,AirTransport,Country.Name.x.x.x,AgeDependancy,Country.Name.y.y.y,Indicator.Name.x.x.x,MilitaryEx,Country.Name.x.x.x.x,Indicator.Name.y.y.y,HospitalBeds,Country.Name.y.y.y.y,Indicator.Name,PovertyRate,WHO.Region,totalcases,Cases...cumulative.total.per.100000.population,Cases...newly.reported.in.last.7.days,Cases...newly.reported.in.last.7.days.per.100000.population,Cases...newly.reported.in.last.24.hours,totaldeaths,Deaths...cumulative.total.per.100000.population,Deaths...newly.reported.in.last.7.days,Deaths...newly.reported.in.last.7.days.per.100000.population,Deaths...newly.reported.in.last.24.hours,deathrate
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,NA,NA,Aruba,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.546,43.697,Aruba,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,NA,Aruba,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Aruba,47.03225273,Aruba,Military expenditure (% of GDP),NA,Aruba,"Hospital beds (per 1,000 people)",NA,Aruba,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Americas,34264,32092.614,175,163.91,0,212,198.565,0,0,0,0.00618725192621994
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,494.1793499,516.75,Afghanistan,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.754,26.026,Afghanistan,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,65.80603027,Afghanistan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,7334,4635.714,Afghanistan,80.0882595,Afghanistan,Military expenditure (% of GDP),1.369684411,Afghanistan,"Hospital beds (per 1,000 people)",0.39,Afghanistan,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),47,Eastern Mediterranean,178332,458.103,315,0.809,37,7676,19.718,3,0.008,0,0.043043312473364286
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2809.626088,1776.17,Angola,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.177,66.825,Angola,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,71.326004030000007,Angola,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,13647,3792,Angola,94.50267233,Angola,Military expenditure (% of GDP),1.615852036,Angola,"Hospital beds (per 1,000 people)",0.8,Angola,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),49.9,Africa,99194,301.811,0,0,0,1900,5.781,0,0,0,0.019154384337762363
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5395.659532,5246.29,Albania,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.229,62.112,Albania,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,NA,Albania,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2558,1274,Albania,46.93010865,Albania,Military expenditure (% of GDP),1.535464713,Albania,"Hospital beds (per 1,000 people)",2.89,Albania,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.1,Europe,274320,9532.282,265,9.208,48,3494,121.412,2,0.069,0,0.01273694954797317
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40897.33087,NA,Andorra,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.984,87.916,Andorra,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2744.194336,Andorra,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,Andorra,NA,Andorra,Military expenditure (% of GDP),NA,Andorra,"Hospital beds (per 1,000 people)",2.5,Andorra,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Europe,40709,52687.504,381,493.108,381,153,198.02,0,0,0,0.003758382667223464
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,42701.44305,36284.56,United Arab Emirates,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.789,87.048,United Arab Emirates,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1842.694458,United Arab Emirates,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,426157.272,185260,United Arab Emirates,19.15896211,United Arab Emirates,Military expenditure (% of GDP),NA,United Arab Emirates,"Hospital beds (per 1,000 people)",1.38,United Arab Emirates,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0,Eastern Mediterranean,894523,9044.354,1594,16.117,237,2302,23.275,0,0,0,0.002573438581232679
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10056.63794,8579.02,Argentina,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.991,92.111,Argentina,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,945.9919434,Argentina,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,163106,27447,Argentina,55.76766101,Argentina,Military expenditure (% of GDP),0.761486737,Argentina,"Hospital beds (per 1,000 people)",4.99,Argentina,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),1.4,Americas,9056203,20037.721,18472,40.871,11677,128285,283.843,4,0.009,0,0.014165428933074932
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4604.646324,4266.02,Armenia,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.219,63.313,Armenia,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,523.9990845,Armenia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2133,705,Armenia,48.44552785,Armenia,Military expenditure (% of GDP),4.858048412,Armenia,"Hospital beds (per 1,000 people)",4.2,Armenia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),23.5,Europe,422721,14265.529,92,3.105,10,8621,290.932,2,0.067,0,0.020394066062485658
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11715.36014,12844.9,American Samoa,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.147,87.153,American Samoa,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,NA,American Samoa,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,NA,American Samoa,NA,American Samoa,Military expenditure (% of GDP),NA,American Samoa,"Hospital beds (per 1,000 people)",NA,American Samoa,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Western Pacific,5536,10029.531,518,938.457,92,18,32.61,10,18.117,1,0.0032514450867052024
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17376.64968,13992.74,Antigua and Barbuda,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.506,24.433,Antigua and Barbuda,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,760.2649536,Antigua and Barbuda,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,21930.58313,11206.527,Antigua and Barbuda,45.31317238,Antigua and Barbuda,Military expenditure (% of GDP),NA,Antigua and Barbuda,"Hospital beds (per 1,000 people)",2.89,Antigua and Barbuda,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),NA,Americas,7523,7682.096,30,30.634,0,135,137.855,0,0,0,0.017944968762461783
