Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Afghanistan,Eastern Mediterranean,178332,458.103,315,0.809,37,7676,19.718,3,0.008,0
Albania,Europe,274320,9532.282,265,9.208,48,3494,121.412,2,0.069,0
Algeria,Africa,265731,605.986,26,0.059,1,6874,15.676,0,0,0
American Samoa,Western Pacific,5536,10029.531,518,938.457,92,18,32.61,10,18.117,1
Andorra,Europe,40709,52687.504,381,493.108,381,153,198.02,0,0,0
Angola,Africa,99194,301.811,0,0,0,1900,5.781,0,0,0
Anguilla,Americas,2731,18204.239,14,93.321,0,9,59.992,0,0,0
Antigua and Barbuda,Americas,7523,7682.096,30,30.634,0,135,137.855,0,0,0
Argentina,Americas,9056203,20037.721,18472,40.871,11677,128285,283.843,4,0.009,0
Armenia,Europe,422721,14265.529,92,3.105,10,8621,290.932,2,0.067,0
Aruba,Americas,34264,32092.614,175,163.91,0,212,198.565,0,0,0
Australia,Western Pacific,5019012,19682.49,361963,1419.469,54146,6648,26.071,186,0.729,39
Austria,Europe,4065541,45674.776,84228,946.269,12566,16158,181.529,149,1.674,29
Azerbaijan,Europe,792305,7814.295,164,1.617,16,9704,95.708,3,0.03,1
Bahamas,Americas,33366,8484.808,51,12.969,0,789,200.639,1,0.254,0
Bahrain,Eastern Mediterranean,561525,33000.309,3518,206.75,460,1473,86.567,1,0.059,0
Bangladesh,South-East Asia,1952197,1185.381,286,0.174,66,29124,17.684,1,0.001,0
Barbados,Americas,62968,21911.44,2078,723.097,543,379,131.883,3,1.044,0
Belarus,Europe,971649,10282.739,4831,51.125,899,6885,72.862,23,0.243,3
Belgium,Europe,3943831,34227.395,24552,213.08,0,31079,269.726,80,0.694,0
Belize,Americas,57314,14413.975,-4,-1.006,13,672,169.002,16,4.024,0
Benin,Africa,26605,219.455,10,0.082,0,163,1.345,0,0,0
Bermuda,Americas,12864,20657.428,185,297.079,56,130,208.758,1,1.606,0
Bhutan,South-East Asia,49066,6358.928,12017,1557.397,1879,15,1.944,3,0.389,1
Bolivia,Americas,903584,7740.79,664,5.688,36,21899,187.604,2,0.017,0
Bonaire,Americas,7663,36638.776,0,0,0,28,133.875,0,0,0
Bosnia and Herzegovina,Europe,376339,11470.9,391,11.918,75,15744,479.881,16,0.488,2
Botswana,Africa,305844,13005.634,20,0.85,0,2687,114.261,0,0,0
Brazil,Americas,30183929,14200.231,143800,67.652,22724,661493,311.204,965,0.454,166
British Virgin Islands,Americas,6162,20379.006,7,23.15,0,62,205.047,0,0,0
Brunei Darussalam,Western Pacific,139278,31836.5,2039,466.08,217,157,35.887,1,0.229,0
Bulgaria,Europe,1147812,16511.76,4388,63.123,647,36756,528.751,101,1.453,16
Burkina Faso,Africa,20865,99.817,0,0,0,383,1.832,0,0,0
Burundi,Africa,38722,325.647,59,0.496,0,15,0.126,0,0,0
Cabo Verde,Africa,55978,10068.221,12,2.158,0,401,72.124,0,0,0
Cambodia,Western Pacific,135998,813.436,164,0.981,18,3055,18.273,0,0,0
Cameroon,Africa,119544,450.33,0,0,0,1927,7.259,0,0,0
Canada,Americas,3590820,9514.083,54122,143.399,11090,38095,100.935,252,0.668,51
Cayman Islands,Americas,21121,32137.858,0,0,0,25,38.04,0,0,0
Central African Republic,Africa,14354,297.199,0,0,0,113,2.34,0,0,0
Chad,Africa,7378,44.917,31,0.189,0,192,1.169,0,0,0
Chile,Americas,3518800,18407.423,22911,119.851,2922,57098,298.689,276,1.444,4
China,Western Pacific,954346,64.865,22181,1.508,4687,14440,0.981,489,0.033,62
Colombia,Americas,6088619,11965.945,2135,4.196,284,139729,274.609,51,0.1,4
Comoros,Africa,8100,931.462,5,0.575,0,160,18.399,0,0,0
Congo,Africa,24028,435.441,11,0.199,0,385,6.977,0,0,0
Cook Islands,Western Pacific,3688,20997.495,813,4628.786,104,0,0,0,0,0
Costa Rica,Americas,844892,16585.639,3549,69.669,0,8357,164.052,30,0.589,0
Côte d’Ivoire,Africa,81838,310.248,58,0.22,4,797,3.021,1,0.004,0
Croatia,Europe,1110989,27376.635,5674,139.817,1142,15707,387.047,61,1.503,5
Cuba,Americas,1098114,9694.987,3762,33.214,439,8519,75.212,2,0.018,0
Curaçao,Americas,41306,25172.311,504,307.143,0,271,165.15,4,2.438,0
Cyprus,Europe,462783,52114.909,13068,1471.613,1414,984,110.81,15,1.689,2
Czechia,Europe,3875994,36244.774,24998,233.759,3472,39945,373.529,103,0.963,12
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,Africa,87023,97.166,276,0.308,0,1337,1.493,0,0,0
Denmark,Europe,3091899,53100.203,16351,280.812,2257,5945,102.099,132,2.267,13
Djibouti,Eastern Mediterranean,15598,1578.745,7,0.709,3,189,19.13,0,0,0
Dominica,Americas,11981,16642.358,84,116.681,0,63,87.511,0,0,0
Dominican Republic,Americas,578663,5334.327,286,2.636,37,4375,40.33,0,0,0
Ecuador,Americas,865585,4906.095,2715,15.388,167,35513,201.286,64,0.363,4
Egypt,Eastern Mediterranean,511977,500.298,2800,2.736,0,24522,23.963,49,0.048,0
El Salvador,Americas,162089,2498.981,519,8.002,0,4124,63.581,3,0.046,0
Equatorial Guinea,Africa,15906,1133.726,2,0.143,0,183,13.044,0,0,0
Eritrea,Africa,9733,274.446,5,0.141,1,103,2.904,0,0,0
Estonia,Europe,566467,42624.321,4358,327.922,628,2505,188.491,24,1.806,4
Eswatini,Africa,70048,6037.767,121,10.43,34,1395,120.242,0,0,0
Ethiopia,Africa,470151,408.956,235,0.204,43,7509,6.532,1,0.001,0
Falkland Islands (Malvinas),Americas,131,3761.125,6,172.265,0,0,0,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Fiji,Western Pacific,64502,7195.31,31,3.458,3,862,96.158,28,3.123,28
Finland,Europe,949583,17186.114,28891,522.886,28891,3517,63.653,183,3.312,183
France,Europe,26525319,40783.488,901637,1386.294,146307,140558,216.112,852,1.31,152
French Guiana,Americas,79529,26626.646,454,152.001,0,394,131.913,0,0,0
French Polynesia,Western Pacific,72596,25843.337,123,43.787,0,648,230.681,0,0,0
Gabon,Africa,47591,2138.216,0,0,0,303,13.613,0,0,0
Gambia,Africa,11994,496.303,4,0.166,0,365,15.103,0,0,0
Georgia,Europe,1652472,41423.903,1764,44.22,237,16783,420.714,18,0.451,2
Germany,Europe,23182447,27874.671,916659,1102.195,165368,132688,159.545,1652,1.986,310
Ghana,Africa,161086,518.412,38,0.122,0,1445,4.65,0,0,0
Gibraltar,Europe,17236,51159.063,33,97.949,0,101,299.783,0,0,0
Greece,Europe,3206948,29919.565,80092,747.227,11061,28344,264.438,452,4.217,70
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Grenada,Americas,14092,12523.662,68,60.432,28,219,194.627,1,0.889,0
Guadeloupe,Americas,142573,35632.204,3057,764.013,0,940,234.927,2,0.5,0
Guam,Western Pacific,40053,23731.595,128,75.841,0,352,208.562,0,0,0
Guatemala,Americas,836234,4667.639,4075,22.746,809,17400,97.122,62,0.346,21
Guernsey,Europe,23684,36737.606,1427,2213.501,0,43,66.7,7,10.858,0
Guinea,Africa,36502,277.945,0,0,0,440,3.35,0,0,0
Guinea-Bissau,Africa,8175,415.396,3,0.152,0,170,8.638,0,0,0
Guyana,Americas,63340,8052.869,57,7.247,8,1226,155.87,0,0,0
Haiti,Americas,30586,268.239,8,0.07,0,835,7.323,1,0.009,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Honduras,Americas,421268,4253.253,98,0.989,0,10888,109.929,3,0.03,0
Hungary,Europe,1879480,19238.19,13873,142.003,2534,45856,469.378,172,1.761,18
Iceland,Europe,183974,50523.708,1082,297.143,611,110,30.209,9,2.472,8
India,South-East Asia,43039023,3118.76,7065,0.512,1007,521737,37.807,207,0.015,1
Indonesia,South-East Asia,6037742,2207.393,9329,3.411,833,155794,56.958,285,0.104,48
"Iran, Islamic Rep.",Eastern Mediterranean,7199861,8571.983,19853,23.637,2356,140711,167.527,260,0.31,33
Iraq,Eastern Mediterranean,2322551,5774.259,1456,3.62,248,25188,62.622,9,0.022,2
Ireland,Europe,1496910,30152.646,15752,317.297,2096,6919,139.371,61,1.229,16
Isle of Man,Europe,30169,35479.584,0,0,0,87,102.314,0,0,0
Israel,Europe,4018872,46431.205,41658,481.287,4733,10601,122.476,14,0.162,0
Italy,Europe,15467395,25933.952,431452,723.409,62586,161187,270.26,935,1.568,155
