Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,486761597,6244.904440554453,10064712,129.12515089332658,1391813,6142735,78.80817491575708,31052,0.3983814127557337,4367,
United States of America,Americas,79342899,23970.472,203635,61.521,50317,972830,293.904,4683,1.415,1261
India,South-East Asia,43025775,3117.8,9403,0.681,1335,521181,37.767,4426,0.321,52
Brazil,Americas,29916334,14074.34,186343,87.666,33937,659504,310.268,1506,0.709,263
France,Europe,24864733,38230.286,961186,1477.853,167760,139089,213.854,816,1.255,138
Germany,Europe,21357039,25679.793,1464011,1760.333,252530,129695,155.946,1585,1.906,304
The United Kingdom,Europe,21147429,31151.383,479881,706.892,35968,165379,243.613,751,1.106,17
Russian Federation,Europe,17862089,12239.802,146699,100.524,19164,369064,252.897,2446,1.676,342
Turkey,Europe,14860560,17620.019,100229,118.841,14336,98033,116.237,435,0.516,56
Italy,Europe,14642354,24550.618,489256,820.328,73195,159383,267.235,947,1.588,159
Republic of Korea,Western Pacific,13375818,26089.391,2213586,4317.576,280273,16590,32.359,2296,4.478,360
Spain,Europe,11532099,24363.96,50802,107.33,0,102319,216.17,86,0.182,0
Viet Nam,Western Pacific,9564609,9826.124,964858,991.239,92355,42493,43.655,348,0.358,39
Argentina,Americas,9035127,19991.088,13887,30.726,0,127997,283.206,217,0.48,0
Netherlands,Europe,7859274,45148.56,193625,1112.302,25467,21987,126.307,136,0.781,26
Iran (Islamic Republic of),Eastern Mediterranean,7162220,8527.168,16343,19.458,2487,140204,166.924,339,0.404,46
Japan,Western Pacific,6552920,5181.138,314041,248.3,48047,28097,22.215,612,0.484,87
Colombia,Americas,6084551,11957.951,2325,4.569,311,139607,274.369,99,0.195,12
Indonesia,South-East Asia,6015748,2199.352,24061,8.797,2930,155164,56.728,701,0.256,75
Poland,Europe,5966970,15719.87,33863,89.211,4039,115247,303.616,511,1.346,74
Mexico,Americas,5657077,4387.618,4158,3.225,0,322948,250.478,81,0.063,0
Ukraine,Europe,4968881,11361.66,15968,36.512,2081,107980,246.903,169,0.386,23
Australia,Western Pacific,4326841,16968.081,395888,1552.509,59628,5994,23.506,170,0.667,32
Malaysia,Western Pacific,4201919,12982.51,122677,379.03,18560,34983,108.086,319,0.986,44
Israel,Europe,3919831,45286.955,89712,1036.469,10665,10485,121.136,14,0.162,0
Austria,Europe,3880270,43593.328,207523,2331.44,26451,15745,176.889,191,2.146,23
Belgium,Europe,3851048,33422.157,59954,520.324,21,30826,267.53,135,1.172,5
Czechia,Europe,3822035,35740.198,44913,419.986,6495,39692,371.164,157,1.468,7
South Africa,Africa,3718953,6270.503,9744,16.429,1886,100032,168.663,100,0.169,12
Philippines,Western Pacific,3678245,3356.642,2424,2.212,327,59249,54.069,478,0.436,124
Thailand,South-East Asia,3656726,5238.864,179696,257.444,28379,25222,36.135,574,0.822,92
Portugal,Europe,3599554,34961.012,67027,651.006,10754,21716,210.919,158,1.535,20
Peru,Americas,3546696,10756.738,3517,10.667,613,212207,643.6,226,0.685,28
Switzerland,Europe,3481127,40222.769,72236,834.653,21,12997,150.174,44,0.508,0
Canada,Americas,3472041,9199.372,47914,126.951,6880,37571,99.547,239,0.633,34
Chile,Americas,3470936,18157.039,44789,234.299,6511,56580,295.979,433,2.265,113
Denmark,Europe,3058773,52531.298,29551,507.508,3931,5698,97.857,163,2.799,9
